x,y
針,jam1
鈍,dun6
鈕,nau2
鈪,ngaak3
鉤,ngau1
鉸,gaau3
銀,ngan2
銻,tai1
鋤,choh4
錫,sek3
錶,biu1
鍟,seng3
鎅,gaai3
鎖,soh2
鏡,geng3
鐘,jung1
鑊,wok6
門,moon2
閂,saan1
閘,jaap6
閣,gok3
闊,foot3
阻,joh2
除,chui4
陰,yam1
隔,gaak3
雀,jeuk2
雜,jaap6
雞,gai1
雪,suet3
震,jan3
霉,mooi4
霧,mo6
霸,ba3
靚,leng3
靠,kaau3
面,min2
靴,heuh1
鞋,haai4
鞭,bin1
韌,ngan6
韞,wan3
頂,ding2
預,yue6
頸,geng2
飛,fei1
食,sik6
飲,yam2
餲,ngaat3
餸,sung3
餼,hei3
饠,loh3
騷,so1
騾,lui4
驚,geng1
驢,lo4
骨,gwat1
髀,bei2
鬆,sung1
鬚,so1
鬥,dau3
鬧,naau6
鮓,ja2
鯁,kang2
鴨,ngaap3
鴿,gap3
鹹,haam4
黃,wong4
黐,chi1
黑,hak1
點,dim2
鼠,sue2
齋,jaai1
龜,gwai1
䀹,gap6
丫,a1
啊,a1
錒,a1
鴉,a1
啞,a2
亞,a3
阿,a3
氬,a3
婭,a3
挨,aai1
隘,aai3
軛,aak1
俺,aan2
壓,aat3
遏,aat3
揠,aat3
軋,aat3
猰,aat3
坳,aau3
哎,ai1
唉,ai1
矮,ai2
屭,ai3
縊,ai3
厄,ak1
扼,ak1
幄,ak1
握,ak1
齷,ak1
渥,ak1
鵪,am1
庵,am1
諳,am1
黯,am2
暗,am3
鶯,ang1
甌,au1
鷗,au1
歐,au1
毆,au2
慪,au3
疤,ba1
叭,ba1
粑,ba1
芭,ba1
笆,ba1
爸,ba1
葩,ba1
巴,ba1
鈀,ba2
靶,ba2
把,ba2
壩,ba3
罷,ba6
吧,ba6
掰,baai1
襬,baai2
捭,baai2
拜,baai3
敗,baai6
稗,baai6
迫,baak1
伯,baak3
百,baak3
佰,baak3
白,baak6
帛,baak6
蔔,baak6
匐,baak6
頒,baan1
瘢,baan1
斑,baan1
版,baan2
舨,baan2
坂,baan2
闆,baan2
辦,baan6
蹦,baang6
繃,baang6
捌,baat3
茇,baat6
褒,baau1
孢,baau1
鮑,baau1
苞,baau1
胞,baau1
飽,baau2
齙,baau6
蔽,bai3
閉,bai3
贔,bai3
敝,bai6
陛,bai6
斃,bai6
狴,bai6
幣,bai6
北,bak1
泵,bam1
乓,bam1
賓,ban1
檳,ban1
奔,ban1
繽,ban1
濱,ban1
彬,ban1
斌,ban1
瀕,ban1
品,ban2
稟,ban2
鬢,ban3
殯,ban3
擯,ban3
笨,ban6
鏰,bang1
畢,bat1
筆,bat1
不,bat1
蓽,bat1
嗶,bat1
篳,bat1
蹕,bat1
鈈,bat1
拔,bat6
鈸,bat6
弼,bat6
跋,bat6
苾,bat6
菝,bat6
啤,be1
唄,be6
卑,bei1
碑,bei1
裨,bei1
屄,bei1
悲,bei1
比,bei2
俾,bei2
脾,bei2
彼,bei2
妣,bei2
匕,bei2
臂,bei3
秘,bei3
泌,bei3
鉍,bei3
轡,bei3
庇,bei3
備,bei6
鼻,bei6
箆,bei6
憊,bei6
餅,beng2
病,beng6
碧,bik1
璧,bik1
愎,bik1
壁,bik1
辮,bin1
扁,bin2
貶,bin2
匾,bin2
變,bin3
卞,bin6
辨,bin6
辯,bin6
兵,bing1
冰,bing1
乒,bing1
丙,bing2
秉,bing2
炳,bing2
屏,bing2
迸,bing3
併,bing3
並,bing6
觱,bit1
必,bit1
彆,bit3
鱉,bit3
憋,bit3
蹩,bit6
別,bit6
癟,bit6
鑣,biu1
膘,biu1
標,biu1
鏢,biu1
飆,biu1
彪,biu1
婊,biu2
表,biu2
晡,bo1
鴇,bo2
保,bo2
堡,bo2
圃,bo2
寶,bo2
葆,bo2
補,bo2
佈,bo3
埔,bo3
報,bo3
怖,bo3
布,bo3
步,bo6
捕,bo6
部,bo6
暴,bo6
埠,bo6
玻,boh1
菠,boh1
簸,boh3
播,boh3
博,bok3
亳,bok3
駁,bok3
縛,bok3
箔,bok6
鉑,bok6
礴,bok6
雹,bok6
薄,bok6
泊,bok6
舶,bok6
邦,bong1
梆,bong1
幫,bong1
綁,bong2
蒡,bong2
膀,bong2
榜,bong2
鎊,bong6
揹,booi3
輩,booi3
貝,booi3
鋇,booi3
狽,booi3
悖,booi6
焙,booi6
般,boon1
搬,boon1
苯,boon2
本,boon2
畚,boon2
半,boon3
拌,boon6
叛,boon6
絆,boon6
畔,boon6
胖,boon6
伴,boon6
缽,boot3
脖,boot6
勃,boot6
渤,boot6
荸,boot6
卜,buk1
曝,buk6
僕,buk6
瀑,buk6
蹼,buk6
濮,buk6
甭,bung3
差,cha1
叉,cha1
岔,cha3
杈,cha3
詫,cha3
衩,cha3
姹,cha3
碴,cha4
垞,cha4
查,cha4
茶,cha4
搽,cha4
槎,cha4
茬,cha4
猜,chaai1
釵,chaai1
搋,chaai1
揣,chaai1
踩,chaai2
踹,chaai2
蠆,chaai3
儕,chaai4
豺,chaai4
拆,chaak3
冊,chaak3
柵,chaak3
策,chaak3
鰂,chaak6
攙,chaam1
摻,chaam1
參,chaam1
慘,chaam2
懺,chaam3
杉,chaam3
慚,chaam4
讒,chaam4
饞,chaam4
蠶,chaam4
餐,chaan1
產,chaan2
鏟,chaan2
燦,chaan3
璨,chaan3
殘,chaan4
鋥,chaang6
鍤,chaap3
插,chaap3
刷,chaat3
獺,chaat3
察,chaat3
剎,chaat3
鈔,chaau1
吵,chaau2
肏,chaau3
淒,chai1
妻,chai1
悽,chai1
棲,chai1
沏,chai3
切,chai3
砌,chai3
薺,chai4
齊,chai4
測,chak1
惻,chak1
侵,cham1
磣,cham2
寢,cham2
